断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,长兴港,,,,,
长CHG-1,482.46,3.87,4.38,0.11,,
长CHG-2,1288.1,3.85,3.72,0.32,,
长CHG-3,2370.11,3.95,4.04,0.05,,
长CHG-4,3468.07,3.79,3.15,-0.64,,
长CHG-5,4181.99,6.58,3.45,-0.53,,
长CHG-6,4520.77,3.78,3.97,-0.96,,
长CHG-7,4875.27,2.35,3.07,-1.21,,
长CHG-8,5609.26,3.62,3.1,-0.66,,
长CHG-9,6553.12,4.19,6.76,-0.62,,
长CHG-10,6714.94,3.85,4.01,0.4,,
终点,长湖北线,,,,,
