里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
482.46 	长CHG-1	3.87 	4.38 	0.11 
1288.10 	长CHG-2	3.85 	3.72 	0.32 
2370.11 	长CHG-3	3.95 	4.04 	0.05 
3468.07 	长CHG-4	3.79 	3.15 	-0.64 
4181.99 	长CHG-5	6.58 	3.45 	-0.53 
4520.77 	长CHG-6	3.78 	3.97 	-0.96 
4875.27 	长CHG-7	2.35 	3.07 	-1.21 
5609.26 	长CHG-8	3.62 	3.10 	-0.66 
6553.12 	长CHG-9	4.19 	6.76 	-0.62 
6714.94 	长CHG-10	3.85 	4.01 	0.40 
