里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
219.87 	长LCG-1	2.36 	6.18 	-1.91 
1323.21 	长LCG-2	6.22 	6.44 	-0.95 
2310.49 	长LCG-3	6.05 	5.80 	-0.80 
3310.37 	长LCG-4	4.63 	5.36 	-0.78 
4053.02 	长LCG-5	6.30 	5.77 	-1.79 
4997.13 	长LCG-6	4.64 	5.65 	-2.15 
5777.23 	长LCG-7	6.91 	5.83 	-0.69 
6645.53 	长LCG-8	5.76 	5.66 	-1.12 
7656.50 	长LCG-9	5.80 	5.31 	-1.68 
8701.24 	长LCG-10	4.66 	3.55 	-1.51 
9683.06 	长LCG-11	4.93 	5.62 	-2.12 
11010.37 	长LCG-12	5.23 	6.38 	-1.67 
