Branch Name,Chainage,Number
BHG2-8,BHG,chainage 0,0.000
长BHG2-9,BHG,chainage 1,81.078
CXG,chainage 2,1941.929
CXG,chainage 3,2841.906
CXG,chainage 4,3706.627
CXG,chainage 5,5454.829
CXG,chainage 6,6151.823
CXG,chainage 7,7245.217
CXG,chainage 8,8121.615
CXG,chainage 9,9205.687
CXG,chainage 10,10029.148
CXG,chainage 11,11073.126
CXG,chainage 12,12057.144
CXG,chainage 13,12732.472
CXG,chainage 14,13560.486
CXG,chainage 15,14827.936
CXG,chainage 16,17238.560
CXG,chainage 17,17969.186
CXG,chainage 18,18727.752
CYG,chainage 0,0.000
CYG,chainage 1,402.176
CYG,chainage 2,1835.682
CYG,chainage 3,3429.004
CYG,chainage 4,4905.174
CYG,chainage 5,6346.172
CYG,chainage 6,7688.527
CYG,chainage 7,8043.238
CYG2,chainage 0,0.000
CYG2,chainage 1,366.069
CYG3,chainage 0,0.000
CYG3,chainage 1,400.135
CYG3,chainage 2,756.611
HTQG,chainage 0,0.000
HTQG,chainage 1,93.810
HTQG,chainage 2,902.850
HTQG,chainage 3,1843.092
HTQG,chainage 4,2698.403
HTQG,chainage 5,3480.685
HTQG,chainage 6,3612.000
HXJ,chainage 0,0.000
HXJ,chainage 1,256.178
HXJ,chainage 2,862.596
HXJ,chainage 3,1445.313
HXJ,chainage 4,2019.436
HXXG,chainage 0,180.632
HXXG,chainage 1,817.825
HXXG,chainage 2,1615.304
HXXG,chainage 3,2587.719
HXXG,chainage 4,3310.488
HXXG,chainage 5,3868.879
HXXG,chainage 6,4678.028
HXXG,chainage 7,5504.703
HXXG,chainage 8,6520.381
HXXG,chainage 9,7626.138
HXXG,chainage 10,8743.824
HXXG,chainage 11,9560.737
HXXG,chainage 12,11173.926
HXXG,chainage 13,11564.500
HXXG,chainage 14,11903.275
HXXG,chainage 15,12977.958
HXXG,chainage 16,13983.055
HXXG,chainage 17,14712.047
LCG,chainage 0,0.000
LCG,chainage 1,435.642
LCG,chainage 2,1362.150
LCG,chainage 3,2342.039
LCG,chainage 4,3246.137
LCG,chainage 5,4461.669
LCG,chainage 6,4972.426
SZMG,chainage 0,0.000
SZMG,chainage 1,261.294
