sections,branch,chainage_n,chainage_v
SZMG,chainage_06,3423.251
SZMG,chainage_07,3833.391
SZMG,chainage_08,4190.630
SZMG,chainage_09,4655.747
null, SZMG,chainage_10,4849.512
null, XKHG,chainage_00,0.000
XKHG,chainage_01,241.882
XKHG,chainage_02,842.578
XKHG,chainage_03,1416.842
XKHG,chainage_04,1861.550
XKHG,chainage_05,2398.547
XKHG,chainage_06,3263.384
null, XKHG,chainage_07,3475.519
null, YJPG,chainage_00,0.000
YJPG,chainage_01,60.239
null, YJPG,chainage_02,558.526
null, YJPG2,chainage_00,0.000
YJPG2,chainage_01,46.573
YJPG2,chainage_02,645.701
YJPG2,chainage_03,1593.755
YJPG2,chainage_04,2912.878
YJPG2,chainage_05,3888.075
YJPG2,chainage_06,4377.232
YJPG2,chainage_07,5291.915
YJPG2,chainage_08,6679.739
YJPG2,chainage_09,7308.739
YJPG2,chainage_10,7667.318
YJPG2,chainage_11,8129.662
YJPG2,chainage_12,8779.917
YJPG2,chainage_13,9271.036
YJPG2,chainage_14,9497.822
YJPG2,chainage_15,10209.781
YJPG2,chainage_16,11208.966
YJPG2,chainage_17,11628.520
YJPG2,chainage_18,12148.491
YJPG2,chainage_19,12390.898
YJPG2,chainage_20,13111.635
YJPG2,chainage_21,13755.000
YJPG2,chainage_22,14654.536
null, YJPG2,chainage_23,14723.510
null, YLJ,chainage_00,0.000
YLJ,chainage_01,319.540
YLJ,chainage_02,745.310
YLJ,chainage_03,1291.870
null, YLJ,chainage_04,1333.750
null, ZWTG,chainage_00,0.000
ZWTG,chainage_01,112.123
ZWTG,chainage_02,1125.755
ZWTG,chainage_03,1783.942
ZWTG,chainage_04,2255.392
ZWTG,chainage_05,3505.246
ZWTG,chainage_06,4654.722
ZWTG,chainage_07,5792.438
ZWTG,chainage_08,7026.151
null, ZWTG,chainage_09,7273.150
