Branch Name,Chainage,Number
CYG,chainage 0,0.000
CYG,chainage 1,402.176
CYG,chainage 2,1835.682
CYG,chainage 3,3429.004
CYG,chainage 4,4905.174
CYG,chainage 5,6346.172
CYG,chainage 6,7688.527
CYG,chainage 7,8043.238
CYG2,chainage 0,0.000
CYG2,chainage 1,366.069
CYG3,chainage 0,0.000
CYG3,chainage 1,400.135
CYG3,chainage 2,756.611
HTQG,chainage 0,0.000
HTQG,chainage 1,93.810
HTQG,chainage 2,902.850
HTQG,chainage 3,1843.147
HTQG,chainage 4,2698.403
HTQG,chainage 5,3480.685
HTQG,chainage 6,3612.108
HXJ,chainage 0,0.000
HXJ,chainage 1,256.180
HXJ,chainage 2,862.600
HXJ,chainage 3,1445.310
HXJ,chainage 4,2019.440
HXJ,chainage 5,2052.840
HXXG,chainage 0,0.000
HXXG,chainage 1,180.632
HXXG,chainage 2,817.825
HXXG,chainage 3,1615.304
HXXG,chainage 4,2587.719
HXXG,chainage 5,3310.488
HXXG,chainage 6,3868.879
HXXG,chainage 7,4678.028
HXXG,chainage 8,5504.703
HXXG,chainage 9,6520.381
HXXG,chainage 10,7626.138
HXXG,chainage 11,8743.824
HXXG,chainage 12,9560.737
HXXG,chainage 13,11173.926
HXXG,chainage 14,11564.500
HXXG,chainage 15,11903.275
HXXG,chainage 16,12977.958
HXXG,chainage 17,13983.055
HXXG,chainage 18,14712.047
HXXG,chainage 19,14804.961
LCG,chainage 0,0.000
LCG,chainage 1,1362.150
LCG,chainage 2,2342.039
LCG,chainage 3,3246.137
LCG,chainage 4,4461.669
LCG,chainage 5,4972.426
SZMG,chainage 0,0.000
SZMG,chainage 1,261.294
SZMG,chainage 2,805.201
SZMG,chainage 3,1277.494
SZMG,chainage 4,2039.370
SZMG,chainage 5,3015.908
SZMG,chainage 6,3423.251
SZMG,chainage 7,3833.391
SZMG,chainage 8,4190.630
SZMG,chainage 9,4655.747
SZMG,chainage 10,4849.512
XKHG,chainage 0,0.000
XKHG,chainage 1,241.882
XKHG,chainage 2,842.578
XKHG,chainage 3,1416.842
XKHG,chainage 4,1861.550
XKHG,chainage 5,2398.547
XKHG,chainage 6,3263.384
XKHG,chainage 7,3475.519
YJPG,chainage 0,0.000
YJPG,chainage 1,60.239
YJPG,chainage 2,558.526
YJPG2,chainage 0,0.000
YJPG2,chainage 1,46.573
YJPG2,chainage 2,645.701
YJPG2,chainage 3,1593.755
YJPG2,chainage 4,2912.878
YJPG2,chainage 5,3888.075
YJPG2,chainage 6,4377.232
YJPG2,chainage 7,5291.915
YJPG2,chainage 8,6679.739
YJPG2,chainage 9,7308.739
YJPG2,chainage 10,7667.318
YJPG2,chainage 11,8129.662
YJPG2,chainage 12,8779.917
YJPG2,chainage 13,9271.036
YJPG2,chainage 14,9497.822
YJPG2,chainage 15,10209.781
YJPG2,chainage 16,11208.966
YJPG2,chainage 17,11628.520
YJPG2,chainage 18,12148.491
YJPG2,chainage 19,12390.898
YJPG2,chainage 20,13111.635
YJPG2,chainage 21,13755.000
YJPG2,chainage 22,14654.536
YJPG2,chainage 23,14723.510
YLJ,chainage 0,0.000
YLJ,chainage 1,319.540
YLJ,chainage 2,745.310
YLJ,chainage 3,1291.870
YLJ,chainage 4,1333.750
ZWTG,chainage 0,0.000
ZWTG,chainage 1,112.123
ZWTG,chainage 2,1125.755
ZWTG,chainage 3,1783.942
ZWTG,chainage 4,2255.392
ZWTG,chainage 5,3505.246
ZWTG,chainage 6,4654.722
ZWTG,chainage 7,5792.438
ZWTG,chainage 8,7026.151
ZWTG,chainage 9,7273.150
