断面名称,长CHG-1, , .1,测量水位,1.52
31, , , ,-0.97,108.9
32, , , ,-0.95,112.28
33, , , ,-1.03,115.66
34, , , ,-0.98,119.05
35, , , ,-1.05,122.43
36, , , ,-1.04,125.76
37, , , ,-1.07,129.14
38, , , ,-1.1,132.52
39, , , ,-1.12,135.94
40, , , ,-1.11,139.3
41, , , ,-1.12,142.72
42, , , ,-1.08,146.24
43, , , ,-1.05,149.84
44, , , ,-1.09,153.42
45, , , ,-1.07,157.01
46, , , ,-1.05,160.58
47, , , ,-1.07,164.17
48, , , ,-1.05,167.73
49, , , ,-1.02,171.35
50, , , ,-0.95,174.92
51, , , ,-0.95,178.48
52, , , ,-0.93,182.06
53, , , ,-0.98,185.63
54, , , ,-0.91,189.13
55, , , ,-0.92,192.69
56, , , ,-0.93,196.2
57, , , ,-0.91,199.69
58, , , ,-1,203
59, , , ,-0.91,205.95
60, , , ,-0.89,208.86
61, , , ,-0.85,212
62, , , ,-1.03,215.31
63, , , ,-1.07,219.01
64, , , ,-0.99,221.55
65, , , ,-0.98,225.88
66, , , ,0.92,228.04
67, , , ,-0.93,230.92
68, , , ,-0.93,232.92
69, , , ,-0.92,234.95
70, , , ,-0.96,237.02
71, , , ,-0.95,239.05
72, , , ,-0.92,241.09
73, , , ,-0.99,243.12
74, , , ,-0.93,245.11
75, , , ,-0.92,247.17
76, , , ,-1.03,249.2
77, , , ,-1.03,251.23
78, , , ,-0.99,253.26
79, , , ,-0.97,255.27
80, , , ,-0.99,257.31
81, , , ,-1.01,259.34
82, , , ,-1.08,261.37
83, , , ,-0.96,263.84
84, , , ,-0.9,267.26
85, , , ,-0.96,271.1
86, , , ,-1.06,274.9
87, , , ,-1.21,278.71
88, , , ,-1.1,282.54
89, , , ,-1.1,286.42
90, , , ,-0.98,290.22
91, , , ,-0.89,293.49
92, , , ,-0.91,295.79
93, , , ,-0.75,298.85
94, , , ,-0.47,301.74
95, , , ,0.12,305.28
96, , , ,1.44,307.82
97, , , ,2.56,308.7
98, , , ,2.84,310.32
99, , , ,3.07,312.4
100, , , ,2.7,312.83
101, , , ,2.61,314.37
102, , , ,2.66,316.91
断面名称,长CHG-8, , ,测量水位,1.43
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.64,0
2, , , ,3.23,13.62
3, , , ,3.53,21.22
4, , , ,3.45,27.43
5, , , ,3.62,28.76
6, , , ,3.56,30.18
7, , , ,2.24,32.6
8, , , ,1.72,34.85
9, , , ,1.05,35.83
10, , , ,-0.03,37.44
11, , , ,-0.04,40.46
12, , , ,-0.09,42.57
13, , , ,-0.26,45.59
14, , , ,-0.37,49.61
15, , , ,-0.5,52.99
16, , , ,-0.66,56.35
17, , , ,-0.59,59.64
18, , , ,-0.49,62.85
19, , , ,-0.4,65.86
20, , , ,-0.25,68.4
21, , , ,-0.07,70.46
22, , , ,0.32,72.68
23, , , ,1.25,75.67
24, , , ,2.94,76.2
25, , , ,3.1,76.5
26, , , ,2.82,84.93
断面名称,长CHG-9, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.93,0
2, , , ,1.69,0.49
3, , , ,4.1,5.55
4, , , ,4.19,5.78
5, , , ,3.59,7.45
6, , , ,2.35,8.54
7, , , ,1.12,9.92
8, , , ,0.02,11.44
9, , , ,-0.08,12.06
10, , , ,-0.22,14.93
11, , , ,-0.26,17.09
12, , , ,-0.44,20.12
13, , , ,-0.58,23.53
14, , , ,-0.62,26.84
15, , , ,-0.61,29.19
16, , , ,-0.5,32.35
17, , , ,-0.36,35.31
18, , , ,-0.18,38.71
19, , , ,0.03,40.91
20, , , ,1.97,42.44
21, , , ,1.27,46.8
22, , , ,1.46,47.18
23, , , ,4.37,53.85
24, , , ,6.76,61.22
25, , , ,2.71,67.41
断面名称,长CHG-10, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.57,0
2, , , ,2.22,0.47
3, , , ,2.16,1.41
4, , , ,2.61,5.15
5, , , ,3.71,7.62
6, , , ,3.85,8.56
7, , , ,2.51,8.87
8, , , ,3.29,8.9
9, , , ,3.05,10.29
10, , , ,0.52,12.99
11, , , ,0.62,14.41
12, , , ,0.52,16.09
13, , , ,0.62,18.13
14, , , ,0.52,20.52
15, , , ,0.62,21.96
16, , , ,0.4,23.98
17, , , ,0.4,26.79
18, , , ,0.48,30.13
19, , , ,0.55,33.42
20, , , ,0.81,36.52
21, , , ,0.94,38.72
22, , , ,0.93,41.07
23, , , ,0.87,42.63
24, , , ,0.95,44.42
25, , , ,0.97,46.69
26, , , ,1.2,48.93
27, , , ,3.36,50.66
28, , , ,2.31,51.38
29, , , ,3.6,52.01
30, , , ,3.82,52.8
31, , , ,3.55,53
32, , , ,4.01,53.74
33, , , ,3.61,54.07
34, , , ,3.55,55.38
35, , , ,3.55,56.44
36, , , ,2.59,57.09
37, , , ,2.24,60.41
38, , , ,2.09,62.63
