断面名称,长CHBX-1, , .1,测量水位,1.66
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.19,0
2, , , ,4.21,1.17
3, , , ,4.04,4.75
4, , , ,4.46,6.16
5, , , ,4.42,6.64
6, , , ,4.25,15.34
7, , , ,4.23,24.11
8, , , ,4.23,32.23
9, , , ,4.34,39.7
10, , , ,4.4,40.32
11, , , ,5.32,40.41
12, , , ,5.2,41.23
13, , , ,4.24,43.2
14, , , ,3.5,43.64
15, , , ,3,44.21
16, , , ,1.86,44.45
17, , , ,0.23,46.06
18, , , ,-0.85,48.45
19, , , ,-0.96,50.81
20, , , ,-1.1,54.08
21, , , ,-1.47,59.23
22, , , ,-0.97,62.68
23, , , ,-0.53,68.69
24, , , ,0.37,70.66
25, , , ,1.29,74.42
26, , , ,2.46,75.53
27, , , ,2.72,76.61
28, , , ,3.58,79.1
29, , , ,4.08,80.91
30, , , ,4.22,84.58
31, , , ,4.24,86.87
32, , , ,3.88,88.56
33, , , ,3.97,90.76
