断面名称,长CHBX-1, , .1,测量水位,1.66
1, , , ,3.25,0
2, , , ,2.92,7.67
3, , , ,1.66,9.33
4, , , ,-0.23,12.55
5, , , ,-0.21,14.48
6, , , ,-0.17,17.55
7, , , ,-0.57,17.9
8, , , ,-0.88,20.51
9, , , ,-0.88,24.21
10, , , ,-0.97,29.26
11, , , ,-0.93,34.98
12, , , ,-0.79,39.81
13, , , ,-0.7,42.81
14, , , ,-0.3,45.3
15, , , ,-0.17,46.89
16, , , ,0.2,48.94
17, , , ,1.41,51.31
18, , , ,2.92,52.47
19, , , ,2.8,59.6
断面名称,长CHBX-8, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.31,0
2, , , ,2.32,3.73
3, , , ,2.55,7.24
4, , , ,3.37,9.07
5, , , ,3.3,12.14
6, , , ,2.29,14.01
7, , , ,1.45,14.72
8, , , ,-0.13,20.64
9, , , ,-0.17,23.55
10, , , ,-0.18,25.47
11, , , ,-0.28,27.37
12, , , ,-0.75,30.11
13, , , ,-0.78,32.55
14, , , ,-0.94,36.96
15, , , ,-1.23,41.03
16, , , ,-1.2,43.84
17, , , ,-0.96,46.74
18, , , ,-0.93,49.75
19, , , ,-0.9,52.9
20, , , ,-0.97,56.15
21, , , ,-0.83,59.46
22, , , ,-0.93,62.84
23, , , ,-0.92,66.21
24, , , ,-0.96,69.61
25, , , ,-0.95,73
26, , , ,-0.94,76.4
27, , , ,-0.96,79.8
28, , , ,-1.02,83.16
29, , , ,-0.97,86.51
30, , , ,-1.03,90.04
31, , , ,-1.05,93.68
32, , , ,-1.11,97.36
33, , , ,-1.02,101.19
34, , , ,-0.96,103.22
35, , , ,-1.07,105.31
36, , , ,-1.12,107.47
37, , , ,-1.3,114.54
38, , , ,-1.33,123.23
39, , , ,-1.19,130.18
40, , , ,-0.93,143.43
41, , , ,-0.97,152.69
42, , , ,-0.83,158.61
43, , , ,-0.74,165.35
44, , , ,-0.64,171.82
45, , , ,-0.64,177.87
46, , , ,-0.63,184.48
47, , , ,-0.56,187.73
48, , , ,-0.46,192.55
49, , , ,-0.43,196.58
50, , , ,-0.22,198.07
51, , , ,1.5,199.23
52, , , ,2.51,200.53
53, , , ,3.31,206.38
54, , , ,3.23,209.73
55, , , ,2.92,213.45
56, , , ,2.96,218.74
断面名称,长CHBX-9, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.25,0
2, , , ,3.18,8.11
3, , , ,3.69,16.23
4, , , ,3.61,19.5
5, , , ,2.17,21.69
6, , , ,1.33,22.71
7, , , ,-0.02,24.64
8, , , ,-0.24,27.86
9, , , ,-0.57,30.05
10, , , ,-0.72,32.19
11, , , ,0,35
12, , , ,-0.88,38.66
13, , , ,-1.12,40.96
14, , , ,-0.92,43.08
15, , , ,-0.67,46.03
16, , , ,-0.52,48.32
17, , , ,-0.41,51.55
18, , , ,-0.23,54.75
19, , , ,-0.12,57.78
20, , , ,1.2,61.97
21, , , ,1.5,62.73
22, , , ,2.4,63.36
23, , , ,2.75,64.72
24, , , ,3.28,67.06
25, , , ,2.51,68.75
26, , , ,2.05,69.68
断面名称,长CHBX-10, , ,测量水位,1.59
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3,0
2, , , ,2.73,4.65
3, , , ,3.4,7.51
4, , , ,2.66,8.98
5, , , ,1.48,19.39
6, , , ,1.34,26.42
7, , , ,0.77,50.03
8, , , ,0.57,65.98
9, , , ,0,76.58
10, , , ,-0.19,84.41
11, , , ,-0.04,97.36
12, , , ,0.04,112.92
13, , , ,-0.15,124.59
14, , , ,-0.29,133.24
15, , , ,-0.35,141.92
16, , , ,-0.46,155.89
17, , , ,-0.51,169.73
18, , , ,-0.71,181.15
19, , , ,-1.16,196.81
20, , , ,-1.4,205.7
21, , , ,-1.27,217.93
22, , , ,-1.05,237.77
23, , , ,-0.83,257.62
24, , , ,-0.65,267.63
25, , , ,-0.37,282.98
26, , , ,-0.23,291.14
27, , , ,-0.13,300.59
28, , , ,0.06,319.18
29, , , ,0.15,328.47
30, , , ,0.24,337.77
31, , , ,0.29,352.89
32, , , ,0.43,364.35
33, , , ,0.49,374.33
34, , , ,1.49,383.6
35, , , ,2.25,384.3
36, , , ,2.5,386.12
37, , , ,3.76,387.27
38, , , ,3.74,387.76
39, , , ,3.07,390.35
40, , , ,2.73,395.01
41, , , ,2.06,399.19
42, , , ,2.34,399.9
43, , , ,2.2,401.78
断面名称,长CHBX-11, , ,测量水位,1.59
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.23,0
2, , , ,3.07,3.98
3, , , ,2.96,7.32
4, , , ,1.53,8.52
5, , , ,-0.14,10.71
6, , , ,-0.31,12.65
7, , , ,-0.21,14.47
8, , , ,-0.27,16.09
9, , , ,-0.62,18.72
10, , , ,-0.79,21.02
11, , , ,-0.95,23.2
12, , , ,-1.02,25.22
13, , , ,-1.24,27.95
14, , , ,-1.29,30.79
15, , , ,-1.19,32.79
16, , , ,-1.13,34.82
17, , , ,-1.02,36.89
18, , , ,-0.83,38.98
19, , , ,-0.64,41.2
20, , , ,-0.49,43.35
21, , , ,-0.4,45.25
22, , , ,-0.05,45.98
23, , , ,1.49,46.49
24, , , ,1.49,46.49
25, , , ,3.1,47.44
26, , , ,3.1,47.44
27, , , ,3.24,50.58
28, , , ,3.24,50.58
断面名称,长CHBX-12, , ,测量水位,1.57
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.47,0
2, , , ,2.87,2.46
3, , , ,3.54,6.06
4, , , ,3.72,8.54
5, , , ,3.17,9.93
6, , , ,1.72,11
7, , , ,0.59,13.33
8, , , ,0.49,16.18
9, , , ,0.45,19.19
10, , , ,0.02,21.48
11, , , ,-0.47,23.9
12, , , ,-0.37,26.18
13, , , ,-0.55,26.92
14, , , ,-0.28,29.36
15, , , ,-0.33,31.85
16, , , ,-0.24,33.95
17, , , ,0.45,40.3
18, , , ,0.49,43.33
19, , , ,0.59,48.36
20, , , ,2.11,50.81
21, , , ,3.93,52.1
22, , , ,4.13,54.47
23, , , ,3.68,56.16
24, , , ,2.55,59.37
25, , , ,1.73,68.89
26, , , ,1.36,72.11
断面名称,长CHBX-13, , ,测量水位,1.55
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.76,0
2, , , ,2.78,5.41
3, , , ,3.19,7.92
4, , , ,4.09,9.69
5, , , ,3.95,12.37
6, , , ,3.31,13.6
7, , , ,2.49,14.36
8, , , ,1.12,14.71
9, , , ,0.73,17.56
10, , , ,0.76,19.25
11, , , ,0.09,21.8
12, , , ,-0.36,24.01
13, , , ,-1.05,26.39
14, , , ,-1.53,28.91
15, , , ,-1.82,31.51
16, , , ,-1.33,34.12
17, , , ,-0.61,36.74
18, , , ,-0.2,39.2
19, , , ,0.06,41.11
20, , , ,0.38,43.16
21, , , ,0.41,44.94
22, , , ,1.36,45.65
23, , , ,3.07,45.91
24, , , ,3.2,47.46
25, , , ,3.85,48.35
26, , , ,4.31,49.29
27, , , ,4.08,51.29
28, , , ,3.45,53.07
29, , , ,2.53,60.9
30, , , ,2.28,66.36
断面名称,长CHBX-14, , ,测量水位,1.58
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.49,0
2, , , ,3.51,4.02
3, , , ,4.19,5.02
4, , , ,4.32,5.94
5, , , ,4.03,7.35
6, , , ,4.23,7.99
7, , , ,3.5,8.99
8, , , ,2.82,10.03
9, , , ,2.68,10.4
10, , , ,1.41,11.1
11, , , ,1.04,13.04
12, , , ,0.97,14.17
13, , , ,0.92,15.88
14, , , ,0.56,18.19
15, , , ,0.42,21.19
16, , , ,-0.3,24.44
17, , , ,-0.84,27.75
18, , , ,-1.39,31.09
19, , , ,-1.77,34.43
20, , , ,-1.93,37.74
21, , , ,-1.51,41.06
22, , , ,-0.79,44.32
23, , , ,-0.3,47.45
24, , , ,0.55,49.93
25, , , ,0.93,51.55
26, , , ,0.98,52.88
27, , , ,0.99,54.6
28, , , ,1.23,56.02
29, , , ,3.33,57.5
30, , , ,3.15,58.66
31, , , ,3.87,58.84
32, , , ,4.23,59.41
33, , , ,4.15,60.44
34, , , ,2.85,63.2
35, , , ,2.72,64.26
36, , , ,2.19,71.67
37, , , ,1.88,75.95
38, , , ,1.48,76.2
断面名称,长CHBX-15, , ,测量水位,1.57
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.36,0
2, , , ,1.7,0.19
3, , , ,1.8,1.25
4, , , ,2.78,3.62
5, , , ,3.74,5.48
6, , , ,3.86,7.24
7, , , ,3.17,9.22
8, , , ,1.89,11.11
9, , , ,1.72,11.14
10, , , ,1.06,11.75
11, , , ,0.38,13.69
12, , , ,0.29,14.75
13, , , ,0.22,15.94
14, , , ,-0.31,18.36
15, , , ,-0.84,20.97
16, , , ,-1.42,25.46
17, , , ,-1.82,28.25
18, , , ,-2.11,30.99
19, , , ,-1.61,33.76
20, , , ,-0.94,36.12
21, , , ,-0.74,38.49
22, , , ,-0.22,40.45
23, , , ,0.25,42.03
24, , , ,0.44,43.01
25, , , ,1.14,44.74
26, , , ,2.38,45.22
27, , , ,2.95,46.44
28, , , ,3.2,46.97
29, , , ,4,48.26
30, , , ,4.2,49.1
31, , , ,3.7,50.26
32, , , ,2.56,58.54
33, , , ,1.78,61.52
34, , , ,1.55,63.15
35, , , ,1.4,79.49
断面名称,长CHBX-16, , ,测量水位,1.57
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.51,0
2, , , ,2.91,4.31
3, , , ,3.16,12.68
4, , , ,3.3,13.82
5, , , ,2.14,14.44
6, , , ,1.71,14.81
7, , , ,1.15,15.11
8, , , ,1.02,16.83
9, , , ,1,18.17
10, , , ,0.91,19.83
11, , , ,-0.55,22.39
12, , , ,-1.54,24.85
13, , , ,-1.98,27.85
14, , , ,-2.13,31.1
15, , , ,-1.43,34.41
16, , , ,-0.8,37.69
17, , , ,-0.22,40.82
18, , , ,0.19,43.69
19, , , ,0.6,46.33
20, , , ,0.47,46.81
21, , , ,1.27,50.66
22, , , ,3.18,51.41
23, , , ,3.29,52.49
24, , , ,3.43,54.43
25, , , ,3.15,55
26, , , ,2.41,59.29
27, , , ,2.11,63.76
28, , , ,2.22,65.35
29, , , ,2,67.7
断面名称,长CHBX-17, , ,测量水位,1.56
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.63,0
2, , , ,2.9,1.33
3, , , ,2.88,3.96
4, , , ,2.9,5.81
5, , , ,3.55,7.86
6, , , ,3.66,8.5
7, , , ,3.62,10.11
8, , , ,2.63,10.99
9, , , ,1.78,11.39
10, , , ,1.18,12.43
11, , , ,0.62,15.73
12, , , ,-0.43,18.22
13, , , ,-1.07,21.4
14, , , ,-1.56,24.69
15, , , ,-1.77,28.03
16, , , ,-1.57,31.34
17, , , ,-1.05,34.64
18, , , ,-0.55,37.96
19, , , ,-0.07,41.24
20, , , ,-0.36,44.45
21, , , ,0.45,47.15
22, , , ,0.55,47.76
23, , , ,0.33,47.98
24, , , ,0.29,48.26
25, , , ,1.14,49.2
26, , , ,1.5,49.98
27, , , ,1.95,50.33
28, , , ,1.98,54.42
29, , , ,2.61,63.35
30, , , ,2.93,70.74
31, , , ,3.04,79.21
断面名称,长CHBX-18, , ,测量水位,1.55
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.5,0
2, , , ,4.24,0.81
3, , , ,4.17,4.07
4, , , ,4.11,5.22
5, , , ,3.16,6.4
6, , , ,2.18,7.55
7, , , ,1.44,8.13
8, , , ,1.07,8.76
9, , , ,0.64,13.38
