里程距	#断面编号	左岸高程（m）	右岸高程（m）	河底高程（m）
256.21 	长SZMG-1	5.45 	4.92 	0.55 
800.65 	长SZMG-2	3.94 	3.85 	-0.16 
1279.45 	长SZMG-3	4.04 	4.02 	-0.01 
2033.91 	长SZMG-4	3.27 	3.29 	-0.35 
3005.54 	长SZMG-5	3.65 	2.91 	-0.74 
3416.94 	长SZMG-6	3.53 	3.10 	-1.13 
3804.37 	长SZMG-7	4.14 	3.13 	-1.16 
4157.95 	长SZMG-8	3.25 	3.72 	-1.19 
4618.85 	长SZMG-9	3.27 	3.31 	-1.07 
