断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,合溪水库,,,,,
长HXJ-1,514.78,5.99,6.04,0.95,,
长HXJ-2,1014.55,4.38,5.73,0.84,,
长HXJ-3,1457.01,6.22,4.27,0.16,,
长HXJ-4,1851.81,7.1,5.99,-2.88,,
长HXJ-5,2417.37,6.63,6.0,-2.91,,
长HXJ-6,2976.91,5.45,6.36,-4.65,,
长HXJ-7,3530.0699999999997,12.27,5.94,-2.91,,
终点,长兴港,,,,,
