断面名称,长HXJ-1, , .1,测量水位,1.75
25, , , ,-2.19,77.15
26, , , ,-1.95,82.25
27, , , ,-0.67,88.15
28, , , ,-0.61,89.21
29, , , ,5.91,97.4
30, , , ,5.79,97.57
31, , , ,5.94,97.64
32, , , ,5.63,97.67
33, , , ,5.79,105.15
34, , , ,5.94,110.11
