断面名称,长SZMG-1, , .1,测量水位,1.75
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.92,0
2, , , ,5.45,11.55
3, , , ,5.35,16.08
4, , , ,4.1,18.59
5, , , ,2.87,19.8
6, , , ,2.22,22.7
7, , , ,0.88,23.68
8, , , ,0.67,25.72
9, , , ,0.55,27.56
10, , , ,0.77,29.08
11, , , ,0.95,30.25
12, , , ,1.29,31.13
13, , , ,2.56,33
14, , , ,3.52,34.88
15, , , ,3.91,36.14
16, , , ,4.85,39.78
17, , , ,4.92,42.76
断面名称,长SZMG-2, , ,测量水位,1.74
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.94,0
2, , , ,3.7,3.72
3, , , ,3.21,6.24
4, , , ,1.03,9.51
5, , , ,0.41,11.31
6, , , ,-0.16,12.88
7, , , ,0.27,14.13
8, , , ,1.24,15.47
9, , , ,1.46,18.41
10, , , ,3.3,22.55
11, , , ,2.66,25.08
12, , , ,3.85,28.68
13, , , ,3.84,31.04
断面名称,长SZMG-3, , ,测量水位,1.73
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.04,0
2, , , ,3.88,12.01
3, , , ,3.56,16.51
4, , , ,0.79,26.04
5, , , ,1.04,31.41
6, , , ,0.98,33.93
7, , , ,0.46,38.43
8, , , ,0.06,42.04
9, , , ,-0.01,44.91
10, , , ,0.08,46.86
11, , , ,0.36,49.22
12, , , ,0.61,54.66
13, , , ,0.73,57.59
14, , , ,0.83,60.68
15, , , ,0.99,62.23
16, , , ,1.08,63.72
17, , , ,1.14,65.62
18, , , ,4.02,71.53
19, , , ,3.95,78.17
20, , , ,3.97,85.77
断面名称,长SZMG-4, , ,测量水位,1.71
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.27,0
2, , , ,2.74,3.97
3, , , ,3.05,9.02
4, , , ,2.79,11.45
5, , , ,1.41,14.24
6, , , ,1.71,15.28
7, , , ,0.97,18.19
8, , , ,0.42,21.33
9, , , ,-0.01,26.78
10, , , ,-0.21,29.66
11, , , ,-0.33,34.97
