断面名称,长BHG-1, , .1,测量水位,1.14
6, , , ,3.67,13.08
7, , , ,2.66,14.73
8, , , ,1.44,16.76
9, , , ,-0.53,17.45
10, , , ,-0.47,18.49
11, , , ,-0.77,20.23
12, , , ,-0.77,20.23
13, , , ,-0.74,22.77
14, , , ,-0.23,25.75
15, , , ,-0.39,28.47
16, , , ,2.71,28.98
17, , , ,3.18,29.48
18, , , ,3.88,30.68
19, , , ,4.43,31.35
20, , , ,4.44,33.06
21, , , ,4.01,34
22, , , ,3.16,34.81
