断面名称,长BHG-1, , .1,测量水位,1.14
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.94,0
2, , , ,2.26,5.39
3, , , ,3.13,7.53
4, , , ,2.63,8.9
5, , , ,2.38,12.72
6, , , ,1.79,13.48
7, , , ,1.39,13.91
8, , , ,1.07,16.85
9, , , ,0.98,21.08
10, , , ,1.27,26.4
11, , , ,1.67,31.03
12, , , ,1.63,35.19
13, , , ,3.05,36.61
14, , , ,2.96,39.27
15, , , ,2.52,44.47
16, , , ,2.46,46.18
断面名称,长BHG2-3, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.5,0
2, , , ,3.28,2.04
3, , , ,3.04,4.23
4, , , ,1.33,7.84
5, , , ,1.02,9.21
6, , , ,0.81,11.8
7, , , ,0.4,13.95
8, , , ,0.54,14.32
9, , , ,0.5,15.82
10, , , ,0.83,18.59
11, , , ,0.8,19.56
12, , , ,0.74,21.77
13, , , ,0.96,24.45
14, , , ,0.51,29.55
15, , , ,0.38,31.52
16, , , ,0.75,34.21
17, , , ,0,36.22
18, , , ,-0.31,37.76
19, , , ,-0.33,38.61
20, , , ,-0.2,39.8
21, , , ,3.65,42.46
22, , , ,3.83,43.66
23, , , ,3.95,45.02
24, , , ,3.88,49.64
断面名称,长BHG2-4, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.37,0
2, , , ,2.63,1.48
3, , , ,2.64,2.51
4, , , ,3.17,4.67
5, , , ,3.78,11.85
6, , , ,3.48,13.65
7, , , ,2.04,14.65
8, , , ,0.25,15.91
9, , , ,0.2,18.47
10, , , ,0.16,23.44
11, , , ,0.11,26.49
12, , , ,0.08,26.64
13, , , ,0.03,27.98
14, , , ,-0.15,29.94
15, , , ,-0.23,32.51
16, , , ,-0.02,34.36
17, , , ,-0.05,34.77
18, , , ,0.24,39.55
19, , , ,0.93,47.72
20, , , ,1.62,49.34
21, , , ,3.31,51.67
22, , , ,3.37,54.24
23, , , ,3.14,57.29
24, , , ,2.42,61.75
25, , , ,2.31,64.39
断面名称,长BHG2-5, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.45,0
2, , , ,2.53,4.12
3, , , ,2.64,7.85
4, , , ,2.68,13.12
5, , , ,3.26,16.8
6, , , ,3.23,18.91
7, , , ,2.13,20.22
8, , , ,1.29,22.05
9, , , ,-0.11,25.78
10, , , ,-0.07,28.6
11, , , ,-0.15,31.59
12, , , ,-0.14,38.85
13, , , ,-0.19,46.44
14, , , ,-0.22,48.78
15, , , ,-0.39,54.35
16, , , ,-0.3,56.88
17, , , ,-0.25,59.44
18, , , ,-0.22,62.16
19, , , ,-0.23,64.9
20, , , ,-0.18,67.67
21, , , ,-0.14,70.29
22, , , ,-0.17,72.78
23, , , ,-0.4,75.35
24, , , ,-0.28,77.92
25, , , ,-0.29,80.51
26, , , ,-0.23,83.21
27, , , ,-0.33,86.07
28, , , ,-0.2,88.86
29, , , ,-0.22,91.53
30, , , ,-0.05,94.17
31, , , ,0.03,96.8
32, , , ,0.18,99.29
33, , , ,0.24,101.82
34, , , ,0.29,104.38
35, , , ,0.22,106.97
36, , , ,0.25,109.54
37, , , ,0.25,112.16
38, , , ,0.18,114.74
39, , , ,0.23,117.25
40, , , ,0.14,119.69
41, , , ,0.04,122.31
42, , , ,0.12,124.67
43, , , ,-0.06,127.3
44, , , ,-0.06,129.87
45, , , ,-0.03,133.98
46, , , ,0,136.78
47, , , ,0,139.59
48, , , ,-0.17,140.96
49, , , ,-0.21,143.9
50, , , ,-0.15,146.58
51, , , ,-0.07,149.26
52, , , ,-0.11,152.07
53, , , ,-0.16,153.5
54, , , ,-0.09,156.32
55, , , ,0.16,159.38
56, , , ,0.19,162.35
57, , , ,0.22,165.59
58, , , ,0.21,168.2
59, , , ,0.24,170.86
60, , , ,0.3,172.63
61, , , ,0.28,174.26
62, , , ,0.26,176.39
63, , , ,0.29,178.98
64, , , ,0.42,180.52
65, , , ,0.29,184.5
66, , , ,0.44,186.31
67, , , ,0.28,187.85
68, , , ,1.64,190.82
69, , , ,3.02,191.97
70, , , ,3.07,193.7
71, , , ,2.02,196.01
72, , , ,1.92,200.08
断面名称,长BHG2-6, , ,测量水位,1.59
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.31,0
2, , , ,2.6,4.4
