断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,北横港,,,,,
长XKHG-1,271.43,3.9,3.08,-0.44,,
长XKHG-2,866.28,3.17,3.7,-0.65,,
长XKHG-3,1438.78,3.06,3.46,-0.16,,
长XKHG-4,1865.68,3.82,3.71,-0.63,圣旨庙港,河道
长XKHG-5,2357.59,4.55,3.78,-1.42,,
长XKHG-6,3210.57,3.59,4.09,-0.39,,
终点,长兴港,,,,,
