断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,杨家浦港,,,,,
长CHBX-1,491.99,2.95,3.84,-1.39,,
长CHBX-2,2003.57,4.02,3.56,-1.2,,
长CHBX-3,3362.15,3.4,3.78,-0.88,,
长CHBX-4,3795.6,3.63,3.21,-0.39,,
长CHBX-5,4103.32,3.65,3.69,-1.32,,
长CHBX-6,4551.4,3.74,3.0,-0.12,,
长CHBX-7,4894.9,3.25,2.92,-0.97,,
长CHBX-8,5408.4,3.37,3.31,-1.33,,
长CHBX-9,5894.87,3.69,3.28,-1.12,,
长CHBX-10,6248.13,3.4,3.76,-1.4,,
长CHBX-11,6772.86,3.23,3.24,-1.29,,
长CHBX-12,7826.71,3.72,4.13,-0.55,,
长CHBX-13,8164.07,4.09,4.31,-1.82,,
长CHBX-14,9038.23,4.32,4.23,-1.93,,
长CHBX-15,9807.74,3.86,4.2,-2.11,,
长CHBX-16,10391.48,3.3,3.43,-2.13,,
长CHBX-17,10989.76,3.66,3.04,-1.77,,
长CHBX-18,11576.34,4.24,4.53,-1.37,,
长CHBX-19,12103.82,4.18,3.55,-1.09,,
长CHBX-20,13110.19,3.93,4.08,-0.34,,
长CHBX-21,14027.83,4.09,4.06,-0.24,,
长CHBX-22,14780.31,3.42,4.44,-0.52,,
长CHBX-23,15360.57,4.0,4.28,-0.45,,
长CHBX-24,16219.68,2.4,4.07,-0.27,,
长CHBX-25,17115.77,3.75,3.82,-0.78,,
长CHBX-26,17575.03,4.77,3.87,-0.81,,
长CHBX-27,18043.61,4.49,4.21,-0.72,,
长CHBX-28,19431.05,5.32,4.24,-1.47,,
终点,太湖,,,,,
