断面名称,里程距（m）,左岸高程（m）,右岸高程（m）,河底高程（m）,交叉建筑物/河道湖漾,Unnamed: 6
,,,,,名称,类型
起点,杨林涧(源头),,,,,
长YLJ-1,178.2,17.87,19.22,13.57,,
长YLJ-2,536.65,16.12,15.35,10.78,,
长YLJ-3,937.53,10.76,12.84,8.47,堰坝3,堰坝
长YLJ-4,1386.69,9.03,6.03,4.48,堰坝2,堰坝
长YLJ-5,2008.23,7.53,6.17,1.96,堰坝1,堰坝
终点,长兴港,,,,,
